date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:23	58311/58311	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/index.html	debser/debian-handbook.info/browse/stable/index.html	(from )
19:33:25	74/74	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Sep%202019%2012:30:36%20GMT	https://debian-handbook.info/robots.txt		(from )
19:33:25	83/83	---M--	200	added ('OK')	text/css	etag:%225ae035eb-53%22	https://debian-handbook.info/browse/stable/Common_Content/css/default.css	debser/debian-handbook.info/browse/stable/Common_Content/css/default.css	(from https://debian-handbook.info/browse/stable/index.html)
19:33:26	192/192	---M--	200	added ('OK')	text/css	etag:%225ae035eb-c0%22	https://debian-handbook.info/browse/stable/Common_Content/css/print.css	debser/debian-handbook.info/browse/stable/Common_Content/css/print.css	(from https://debian-handbook.info/browse/stable/index.html)
19:33:28	12087/12087	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/preface.html	debser/debian-handbook.info/browse/stable/preface.html	(from https://debian-handbook.info/browse/stable/index.html)
19:33:28	5666/5666	---M--	200	added ('OK')	image/png	etag:%225ae035eb-1622%22	https://debian-handbook.info/browse/stable/Common_Content/images//image_left.png	debser/debian-handbook.info/browse/stable/Common_Content/images/image_left.png	(from https://debian-handbook.info/browse/stable/index.html)
19:33:29	4746/4746	---M--	200	added ('OK')	image/png	etag:%225ae035eb-128a%22	https://debian-handbook.info/browse/stable/Common_Content/images//image_right.png	debser/debian-handbook.info/browse/stable/Common_Content/images/image_right.png	(from https://debian-handbook.info/browse/stable/index.html)
19:33:32	7332/7332	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/foreword.html	debser/debian-handbook.info/browse/stable/foreword.html	(from https://debian-handbook.info/browse/stable/index.html)
19:33:32	58311/58311	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/	debser/debian-handbook.info/browse/stable/index-2.html	(from https://debian-handbook.info/browse/stable/index.html)
19:33:34	3515/3515	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.who-is-this-book-for.html	debser/debian-handbook.info/browse/stable/sect.who-is-this-book-for.html	(from https://debian-handbook.info/browse/stable/index.html)
